merchant_id,mcc,merchant_name,country,ownership_changed_recently,baseline_risk
M1098,5411,Grocery Stores 98,CA,False,Low
M1099,5541,Gas Stations 99,GB,False,Low
M1100,5732,Electronics Stores 100,AU,True,Medium
M1101,5732,Electronics Stores 101,CA,False,Low
M1102,5411,Grocery Stores 102,GB,False,Low
M1103,5411,Grocery Stores 103,FR,False,Medium
M1104,5541,Gas Stations 104,GB,False,Low
M1105,5411,Grocery Stores 105,CA,True,Low
M1106,5541,Gas Stations 106,US,False,Medium
M1107,5812,Restaurants 107,CA,False,Low
M1108,4814,Telecom Services 108,AU,False,Low
M1109,4814,Telecom Services 109,CA,True,Medium
M1110,5732,Electronics Stores 110,US,True,Low
M1111,4814,Telecom Services 111,US,False,Medium
M1112,5411,Grocery Stores 112,GB,True,Low
M1113,5541,Gas Stations 113,CA,False,Low
M1114,5732,Electronics Stores 114,DE,False,Medium
M1115,5411,Grocery Stores 115,CA,False,Low
M1116,5541,Gas Stations 116,AU,True,Medium
M1117,4814,Telecom Services 117,DE,False,Low
M1118,5999,Misc Retail 118,DE,False,Low
M1119,5411,Grocery Stores 119,US,False,Low
M1120,4814,Telecom Services 120,DE,True,Low
M1121,5999,Misc Retail 121,FR,True,Low
M1122,5812,Restaurants 122,AU,True,Low
M1123,5411,Grocery Stores 123,AU,True,Medium
M1124,5812,Restaurants 124,US,False,Low
M1125,5732,Electronics Stores 125,AU,False,Low
M1126,7999,Misc Rec Services 126,CA,True,Low
M1127,5411,Grocery Stores 127,CY,True,High
M1128,5999,Misc Retail 128,FR,False,Low
M1129,5541,Gas Stations 129,GB,True,Low
M1130,5732,Electronics Stores 130,PA,False,High
M1131,5732,Electronics Stores 131,AU,False,Low
M1132,7999,Misc Rec Services 132,FR,False,Low
M1133,5411,Grocery Stores 133,US,True,Low
M1134,5999,Misc Retail 134,US,True,Low
M1135,4814,Telecom Services 135,US,True,Low
M1136,5411,Grocery Stores 136,DE,False,Low
M1137,5732,Electronics Stores 137,DE,False,Low
M1138,4814,Telecom Services 138,AU,False,Low
M1139,5999,Misc Retail 139,PA,False,High
M1140,5541,Gas Stations 140,AU,True,Low
M1141,5999,Misc Retail 141,CA,True,Low
M1142,5999,Misc Retail 142,AU,True,Low
M1143,5812,Restaurants 143,FR,False,Low
M1144,4814,Telecom Services 144,US,False,Low
M1145,5411,Grocery Stores 145,CA,False,Low
M1146,5541,Gas Stations 146,AU,False,Low
M1147,7999,Misc Rec Services 147,US,False,Low
M1148,7999,Misc Rec Services 148,AU,False,Medium
M1149,5999,Misc Retail 149,US,False,Medium
M1150,7999,Misc Rec Services 150,GB,False,Low
M1151,7999,Misc Rec Services 151,CA,False,Low
M1152,5411,Grocery Stores 152,GB,False,Low
M1153,5541,Gas Stations 153,GB,False,Low
M1154,4814,Telecom Services 154,GB,False,Low
M1155,5732,Electronics Stores 155,GB,True,Low
M1156,5812,Restaurants 156,US,False,Medium
M1157,4814,Telecom Services 157,FR,True,Medium
M1158,4814,Telecom Services 158,DE,False,Low
M1159,5541,Gas Stations 159,AU,False,Low
M1160,7999,Misc Rec Services 160,DE,False,Low
M1161,5812,Restaurants 161,CA,False,Low
M1162,5541,Gas Stations 162,CY,False,High
M1163,5541,Gas Stations 163,CY,True,High
M1164,4814,Telecom Services 164,RU,False,High
M1165,5411,Grocery Stores 165,DE,False,Low
M1166,5999,Misc Retail 166,MT,False,High
M1167,5812,Restaurants 167,CA,True,Low
M1168,7999,Misc Rec Services 168,GB,True,Medium
M1169,5411,Grocery Stores 169,US,True,Low
M1170,5999,Misc Retail 170,US,False,Low
M1171,4814,Telecom Services 171,PA,False,High
M1172,4814,Telecom Services 172,CA,False,Low
M1173,7999,Misc Rec Services 173,PA,True,High
M1174,5999,Misc Retail 174,CA,False,Low
M1175,5541,Gas Stations 175,GB,False,Low
M1176,4814,Telecom Services 176,DE,True,Low
M1177,5812,Restaurants 177,CA,False,Low
M1178,5732,Electronics Stores 178,AU,False,Medium
M1179,5411,Grocery Stores 179,GB,True,Low
M1180,7999,Misc Rec Services 180,FR,False,Low
M1181,5732,Electronics Stores 181,AU,False,Medium
M1182,5732,Electronics Stores 182,FR,False,Low
M1183,4814,Telecom Services 183,AU,False,Medium
M1184,5411,Grocery Stores 184,DE,False,Low
M1185,5541,Gas Stations 185,GB,False,Medium
M1186,5812,Restaurants 186,CA,False,Low
M1187,5411,Grocery Stores 187,PA,False,High
M1188,5999,Misc Retail 188,CA,True,Low
M1189,5411,Grocery Stores 189,US,False,Medium
M1190,5812,Restaurants 190,DE,False,Low
M1191,7999,Misc Rec Services 191,GB,False,Low
M1192,5411,Grocery Stores 192,US,False,Medium
M1193,5732,Electronics Stores 193,CA,False,Low
M1194,5732,Electronics Stores 194,US,False,Low
M1195,5411,Grocery Stores 195,DE,True,Low
M1196,5411,Grocery Stores 196,AU,False,Low
M1197,5732,Electronics Stores 197,FR,False,Low
M1198,5541,Gas Stations 198,CA,False,Medium
M1199,5812,Restaurants 199,US,False,Low
M1200,5812,Restaurants 200,FR,True,Medium
M1201,5812,Restaurants 201,FR,True,Low
M1202,5732,Electronics Stores 202,CA,False,Medium
M1203,5732,Electronics Stores 203,US,False,Medium
M1204,5732,Electronics Stores 204,US,False,Medium
M1205,7999,Misc Rec Services 205,GB,True,Medium
M1206,5541,Gas Stations 206,DE,False,Low
M1207,5541,Gas Stations 207,US,False,Low
M1208,5411,Grocery Stores 208,GB,False,Low
M1209,5812,Restaurants 209,MT,False,High
M1210,5732,Electronics Stores 210,CA,False,Low
M1211,5541,Gas Stations 211,GB,True,Low
M1212,5812,Restaurants 212,GB,False,Low
M1213,7999,Misc Rec Services 213,DE,True,Low
M1214,5999,Misc Retail 214,FR,True,Low
M1215,4814,Telecom Services 215,DE,False,Low
M1216,5999,Misc Retail 216,PA,False,High
M1217,4814,Telecom Services 217,GB,False,Low
M1218,5732,Electronics Stores 218,CA,False,Low
M1219,5732,Electronics Stores 219,AU,False,Low
M1220,7999,Misc Rec Services 220,GB,False,Low
M1221,5812,Restaurants 221,GB,True,Medium
M1222,4814,Telecom Services 222,GB,False,Low
M1223,5541,Gas Stations 223,AU,False,Low
M1224,5999,Misc Retail 224,CA,True,Low
M1225,7999,Misc Rec Services 225,DE,False,Medium
M1226,5732,Electronics Stores 226,LV,False,High
M1227,5812,Restaurants 227,US,False,Medium
M1228,4814,Telecom Services 228,CA,False,Low
M1229,4814,Telecom Services 229,CA,False,Low
M1230,5541,Gas Stations 230,FR,False,Low
M1231,5411,Grocery Stores 231,CA,False,Medium
M1232,5411,Grocery Stores 232,DE,False,Low
M1233,5541,Gas Stations 233,FR,False,Low
M1234,4814,Telecom Services 234,US,False,Low
M1235,5999,Misc Retail 235,US,False,Medium
M1236,5999,Misc Retail 236,CA,False,Low
M1237,4814,Telecom Services 237,GB,True,Medium
M1238,5411,Grocery Stores 238,CA,False,Low
M1239,5732,Electronics Stores 239,FR,False,Medium
M1240,7999,Misc Rec Services 240,US,True,Medium
M1241,5812,Restaurants 241,CA,False,Medium
M1242,7999,Misc Rec Services 242,DE,False,Medium
M1243,5732,Electronics Stores 243,FR,False,Low
M1244,5732,Electronics Stores 244,AU,False,Low
M1245,5999,Misc Retail 245,FR,False,Medium
M1246,7999,Misc Rec Services 246,AU,False,Low
M1247,5541,Gas Stations 247,DE,False,Low
M1248,5411,Grocery Stores 248,DE,False,Low
M1249,5812,Restaurants 249,AU,True,Low
M1250,5411,Grocery Stores 250,US,True,Low
M1251,5541,Gas Stations 251,GB,False,Low
M1252,5541,Gas Stations 252,DE,False,Low
M1253,4814,Telecom Services 253,US,False,Low
M1254,5732,Electronics Stores 254,US,False,Low
M1255,4814,Telecom Services 255,FR,False,Medium
M1256,4814,Telecom Services 256,CA,False,Medium
M1257,4814,Telecom Services 257,CA,False,Low
M1258,5812,Restaurants 258,GB,False,Low
M1259,4814,Telecom Services 259,CA,True,Low
M1260,7999,Misc Rec Services 260,AU,False,Low
M1261,7999,Misc Rec Services 261,AU,False,Low
M1262,5999,Misc Retail 262,US,False,Low
M1263,4814,Telecom Services 263,GB,False,Low
M1264,5732,Electronics Stores 264,DE,True,Low
M1265,5812,Restaurants 265,DE,False,Low
M1266,5732,Electronics Stores 266,DE,False,Low
M1267,7999,Misc Rec Services 267,CA,False,Low
M1268,5732,Electronics Stores 268,AU,True,Low
M1269,5732,Electronics Stores 269,FR,True,Medium
M1270,5411,Grocery Stores 270,FR,True,Medium
M1271,5541,Gas Stations 271,US,False,Low
M1272,5812,Restaurants 272,LV,False,High
M1273,7999,Misc Rec Services 273,AU,False,Low
M1274,7999,Misc Rec Services 274,AU,True,Low
M1275,4814,Telecom Services 275,US,True,Low
M1276,4814,Telecom Services 276,CA,True,Low
M1277,5812,Restaurants 277,LV,True,High
M1278,5999,Misc Retail 278,AU,False,Medium
M1279,4814,Telecom Services 279,FR,False,Low
M1280,7999,Misc Rec Services 280,GB,False,Low
M1281,5541,Gas Stations 281,PA,False,High
M1282,5411,Grocery Stores 282,US,False,Medium
M1283,5411,Grocery Stores 283,US,False,Low
M1284,4814,Telecom Services 284,FR,False,Low
M1285,7999,Misc Rec Services 285,DE,False,Low
M1286,7999,Misc Rec Services 286,US,False,Low
M1287,5732,Electronics Stores 287,CA,False,Low
M1288,5732,Electronics Stores 288,FR,True,Low
M1289,7999,Misc Rec Services 289,US,True,Low
M1290,5541,Gas Stations 290,CA,False,Low
M1291,7999,Misc Rec Services 291,FR,False,Low
M1292,5812,Restaurants 292,CA,False,Low
M1293,5812,Restaurants 293,FR,False,Low
M1294,5541,Gas Stations 294,US,False,Low
M1295,5999,Misc Retail 295,GB,False,Medium
M1296,4814,Telecom Services 296,FR,False,Low
M1297,5411,Grocery Stores 297,FR,False,Low
M1298,5411,Grocery Stores 298,AU,True,Low
M1299,4814,Telecom Services 299,US,False,Low
M1300,5732,Electronics Stores 300,FR,False,Low
M1301,5732,Electronics Stores 301,CA,False,Low
M1302,5999,Misc Retail 302,DE,False,Low
M1303,5541,Gas Stations 303,CA,False,Low
M1304,5732,Electronics Stores 304,CA,False,Low
M1305,7999,Misc Rec Services 305,US,False,Medium
M1306,5732,Electronics Stores 306,DE,False,Low
M1307,5812,Restaurants 307,GB,False,Low
M1308,4814,Telecom Services 308,CY,True,High
M1309,5999,Misc Retail 309,AU,False,Low
M1310,5812,Restaurants 310,RU,True,High
M1311,5812,Restaurants 311,AU,True,Low
M1312,4814,Telecom Services 312,AU,False,Low
M1313,5411,Grocery Stores 313,AU,False,Low
M1314,4814,Telecom Services 314,DE,False,Low
M1315,5999,Misc Retail 315,CA,True,Low
M1316,4814,Telecom Services 316,CA,False,Low
M1317,5732,Electronics Stores 317,AU,False,Medium
M1318,5999,Misc Retail 318,RU,False,High
M1319,5732,Electronics Stores 319,US,True,Low
M1320,5541,Gas Stations 320,FR,True,Medium
M1321,5411,Grocery Stores 321,PA,False,High
M1322,7999,Misc Rec Services 322,DE,True,Low
M1323,5541,Gas Stations 323,CA,True,Low
M1324,5732,Electronics Stores 324,GB,False,Low
M1325,5999,Misc Retail 325,FR,False,Medium
M1326,5411,Grocery Stores 326,CA,False,Low
M1327,5541,Gas Stations 327,GB,False,Medium
M1328,5541,Gas Stations 328,GB,False,Low
M1329,5541,Gas Stations 329,GB,True,Low
M1330,5732,Electronics Stores 330,US,True,Low
M1331,5812,Restaurants 331,RU,False,High
M1332,5732,Electronics Stores 332,GB,False,Low
M1333,5999,Misc Retail 333,AU,False,Low
M1334,5812,Restaurants 334,AU,True,Low
M1335,5411,Grocery Stores 335,FR,True,Low
M1336,5999,Misc Retail 336,CA,False,Low
M1337,5732,Electronics Stores 337,GB,True,Medium
M1338,7999,Misc Rec Services 338,RU,False,High
M1339,5812,Restaurants 339,DE,False,Low
M1340,4814,Telecom Services 340,AU,True,Low
M1341,5541,Gas Stations 341,RU,False,High
M1342,5812,Restaurants 342,CA,False,Medium
M1343,4814,Telecom Services 343,AU,True,Low
M1344,7999,Misc Rec Services 344,CA,False,Low
M1345,5411,Grocery Stores 345,DE,False,Low
M1346,7999,Misc Rec Services 346,MT,False,High
M1347,4814,Telecom Services 347,CA,False,Medium
M1348,5812,Restaurants 348,CA,True,Low
M1349,5732,Electronics Stores 349,US,False,Low
M1350,5411,Grocery Stores 350,GB,False,Low
M1351,4814,Telecom Services 351,US,False,Low
M1352,5411,Grocery Stores 352,CA,False,Low
M1353,5541,Gas Stations 353,GB,False,Medium
M1354,5411,Grocery Stores 354,US,False,Low
M1355,5999,Misc Retail 355,DE,False,Low
M1356,5732,Electronics Stores 356,US,False,Low
M1357,5812,Restaurants 357,GB,False,Medium
M1358,4814,Telecom Services 358,GB,False,Low
M1359,5812,Restaurants 359,CA,False,Medium
M1360,5541,Gas Stations 360,DE,True,Low
M1361,5411,Grocery Stores 361,DE,True,Low
M1362,5999,Misc Retail 362,DE,False,Low
M1363,5541,Gas Stations 363,US,True,Medium
M1364,5541,Gas Stations 364,AU,False,Low
M1365,5541,Gas Stations 365,DE,False,Low
M1366,5732,Electronics Stores 366,US,False,Low
M1367,5732,Electronics Stores 367,CY,False,High
M1368,5411,Grocery Stores 368,AU,False,Low
M1369,5812,Restaurants 369,DE,False,Low
M1370,4814,Telecom Services 370,GB,False,Low
M1371,5732,Electronics Stores 371,LV,False,High
M1372,7999,Misc Rec Services 372,FR,False,Low
M1373,5732,Electronics Stores 373,DE,False,Medium
M1374,7999,Misc Rec Services 374,GB,True,Low
M1375,4814,Telecom Services 375,US,False,Low
M1376,5541,Gas Stations 376,AU,False,Low
M1377,5999,Misc Retail 377,DE,False,Low
M1378,5541,Gas Stations 378,FR,False,Low
M1379,5541,Gas Stations 379,AU,True,Low
M1380,5732,Electronics Stores 380,LV,False,High
M1381,5541,Gas Stations 381,MT,False,High
M1382,7999,Misc Rec Services 382,AU,False,Low
M1383,5411,Grocery Stores 383,GB,True,Low
M1384,5541,Gas Stations 384,LV,True,High
M1385,5411,Grocery Stores 385,US,False,Medium
M1386,5411,Grocery Stores 386,AU,False,Low
M1387,4814,Telecom Services 387,CA,False,Low
M1388,5999,Misc Retail 388,GB,False,Low
M1389,4814,Telecom Services 389,FR,False,Low
M1390,5732,Electronics Stores 390,US,False,Low
M1391,7999,Misc Rec Services 391,FR,False,Low
M1392,4814,Telecom Services 392,DE,False,Low
M1393,5999,Misc Retail 393,AU,False,Low
M1394,5732,Electronics Stores 394,FR,True,Low
M1395,5411,Grocery Stores 395,GB,True,Low
M1396,7999,Misc Rec Services 396,US,False,Low
M1397,5812,Restaurants 397,CA,False,Low
M1398,5411,Grocery Stores 398,FR,True,Low
M1399,7999,Misc Rec Services 399,GB,True,Low
M1400,5411,Grocery Stores 400,US,True,Low
M1401,5812,Restaurants 401,DE,False,Low
M1402,5732,Electronics Stores 402,MT,False,High
M1403,5999,Misc Retail 403,FR,False,Low
M1404,5411,Grocery Stores 404,FR,False,Low
M1405,5411,Grocery Stores 405,CA,False,Low
M1406,5812,Restaurants 406,FR,False,Low
M1407,5732,Electronics Stores 407,AU,True,Low
M1408,5812,Restaurants 408,US,False,Medium
M1409,5411,Grocery Stores 409,GB,True,Low
M1410,4814,Telecom Services 410,GB,False,Medium
M1411,5411,Grocery Stores 411,DE,True,Low
M1412,5411,Grocery Stores 412,US,False,Medium
M1413,5541,Gas Stations 413,CA,False,Low
M1414,5732,Electronics Stores 414,CA,False,Medium
M1415,7999,Misc Rec Services 415,GB,False,Low
M1416,4814,Telecom Services 416,PA,False,High
M1417,5812,Restaurants 417,FR,False,Low
M1418,5541,Gas Stations 418,DE,False,Low
M1419,5999,Misc Retail 419,AU,False,Low
M1420,4814,Telecom Services 420,DE,False,Low
M1421,5541,Gas Stations 421,FR,False,Low
M1422,7999,Misc Rec Services 422,FR,False,Low
M1423,7999,Misc Rec Services 423,GB,False,Low
M1424,5999,Misc Retail 424,CA,False,Medium
M1425,7999,Misc Rec Services 425,US,False,Medium
M1426,4814,Telecom Services 426,GB,False,Low
M1427,7999,Misc Rec Services 427,GB,False,Low
M1428,4814,Telecom Services 428,GB,False,Medium
M1429,7999,Misc Rec Services 429,FR,True,Low
M1430,5411,Grocery Stores 430,AU,True,Low
M1431,5732,Electronics Stores 431,CA,False,Low
M1432,5411,Grocery Stores 432,AU,False,Medium
M1433,7999,Misc Rec Services 433,FR,False,Low
M1434,5541,Gas Stations 434,CY,False,High
M1435,5812,Restaurants 435,CA,False,Low
M1436,7999,Misc Rec Services 436,LV,True,High
M1437,5411,Grocery Stores 437,AU,True,Low
M1438,7999,Misc Rec Services 438,CA,False,Medium
M1439,5732,Electronics Stores 439,FR,False,Low
M1440,5541,Gas Stations 440,CA,False,Low
M1441,4814,Telecom Services 441,PA,True,High
M1442,5541,Gas Stations 442,PA,False,High
M1443,4814,Telecom Services 443,CA,False,Low
M1444,5411,Grocery Stores 444,DE,False,Low
M1445,5999,Misc Retail 445,CA,False,Low
M1446,5411,Grocery Stores 446,AU,True,Low
M1447,5999,Misc Retail 447,US,False,Low
M1448,5812,Restaurants 448,AU,False,Medium
M1449,5732,Electronics Stores 449,LV,True,High
M1450,5541,Gas Stations 450,GB,False,Low
M1451,7999,Misc Rec Services 451,US,False,Low
M1452,7999,Misc Rec Services 452,CA,False,Low
M1453,5732,Electronics Stores 453,AU,False,Low
M1454,5812,Restaurants 454,FR,False,Low
M1455,5999,Misc Retail 455,GB,True,Low
M1456,7999,Misc Rec Services 456,FR,False,Low
M1457,5541,Gas Stations 457,GB,False,Medium
M1458,5812,Restaurants 458,CA,False,Low
M1459,7999,Misc Rec Services 459,DE,False,Medium
M1460,5999,Misc Retail 460,DE,False,Low
M1461,5999,Misc Retail 461,AU,False,Low
M1462,7999,Misc Rec Services 462,GB,False,Low
M1463,4814,Telecom Services 463,GB,False,Low
M1464,5411,Grocery Stores 464,GB,False,Low
M1465,5812,Restaurants 465,DE,False,Low
M1466,5812,Restaurants 466,DE,False,Low
M1467,5541,Gas Stations 467,GB,False,Medium
M1468,5541,Gas Stations 468,DE,False,Low
M1469,4814,Telecom Services 469,AU,False,Low
M1470,4814,Telecom Services 470,RU,False,High
M1471,5732,Electronics Stores 471,GB,False,Low
M1472,5541,Gas Stations 472,CA,True,Low
M1473,4814,Telecom Services 473,DE,False,Medium
M1474,5411,Grocery Stores 474,AU,False,Low
M1475,5411,Grocery Stores 475,US,False,Low
M1476,4814,Telecom Services 476,FR,True,Low
M1477,5999,Misc Retail 477,AU,False,Low
M1478,5732,Electronics Stores 478,CA,False,Medium
M1479,5541,Gas Stations 479,DE,False,Low
M1480,5411,Grocery Stores 480,CA,False,Medium
M1481,7999,Misc Rec Services 481,DE,True,Low
M1482,5812,Restaurants 482,CA,True,Low
M1483,5999,Misc Retail 483,US,False,Medium
M1484,5732,Electronics Stores 484,GB,True,Low
M1485,7999,Misc Rec Services 485,RU,False,High
M1486,5411,Grocery Stores 486,DE,False,Low
M1487,5999,Misc Retail 487,GB,False,Low
M1488,5541,Gas Stations 488,FR,False,Low
M1489,5732,Electronics Stores 489,CA,True,Low
M1490,4814,Telecom Services 490,US,True,Low
M1491,5541,Gas Stations 491,GB,False,Low
M1492,5999,Misc Retail 492,MT,True,High
M1493,5541,Gas Stations 493,PA,False,High
M1494,5411,Grocery Stores 494,US,False,Low
M1495,5541,Gas Stations 495,DE,False,Medium
M1496,5999,Misc Retail 496,GB,False,Low
M1497,5411,Grocery Stores 497,AU,False,Low
M1498,4814,Telecom Services 498,FR,False,Low
M1499,7999,Misc Rec Services 499,FR,False,Low
M1500,7999,Misc Rec Services 500,FR,True,Low
M1501,5541,Gas Stations 501,FR,False,Medium
M1502,5411,Grocery Stores 502,GB,False,Low
M1503,7999,Misc Rec Services 503,CA,True,Low
M1504,5999,Misc Retail 504,FR,False,Medium
M1505,5732,Electronics Stores 505,GB,False,Low
M1506,5411,Grocery Stores 506,AU,True,Medium
M1507,7999,Misc Rec Services 507,AU,True,Low
M1508,5732,Electronics Stores 508,DE,False,Low
M1509,5999,Misc Retail 509,RU,False,High
M1510,4814,Telecom Services 510,GB,False,Low
M1511,5732,Electronics Stores 511,DE,False,Low
M1512,4814,Telecom Services 512,US,False,Low
M1513,7999,Misc Rec Services 513,FR,False,Low
M1514,5999,Misc Retail 514,GB,False,Low
M1515,7999,Misc Rec Services 515,GB,True,Low
M1516,5732,Electronics Stores 516,DE,False,Low
M1517,7999,Misc Rec Services 517,CA,False,Low
M1518,5732,Electronics Stores 518,US,False,Low
M1519,7999,Misc Rec Services 519,CA,False,Low
M1520,7999,Misc Rec Services 520,US,False,Medium
M1521,7999,Misc Rec Services 521,GB,False,Low
M1522,7999,Misc Rec Services 522,CA,False,Low
M1523,7999,Misc Rec Services 523,GB,True,Low
M1524,5541,Gas Stations 524,AU,False,Low
M1525,5541,Gas Stations 525,US,False,Low
M1526,4814,Telecom Services 526,GB,False,Low
M1527,5411,Grocery Stores 527,FR,True,Low
M1528,5732,Electronics Stores 528,AU,True,Low
M1529,5541,Gas Stations 529,FR,False,Medium
M1530,4814,Telecom Services 530,US,False,Low
M1531,5541,Gas Stations 531,FR,False,Low
M1532,5541,Gas Stations 532,GB,True,Low
M1533,5999,Misc Retail 533,FR,False,Low
M1534,5812,Restaurants 534,US,True,Medium
M1535,4814,Telecom Services 535,CA,False,Medium
M1536,5411,Grocery Stores 536,GB,False,Medium
M1537,5812,Restaurants 537,CA,True,Low
M1538,5541,Gas Stations 538,CY,False,High
M1539,5812,Restaurants 539,DE,True,Low
M1540,5812,Restaurants 540,RU,True,High
M1541,5812,Restaurants 541,FR,False,Low
M1542,5541,Gas Stations 542,FR,False,Low
M1543,4814,Telecom Services 543,US,False,Medium
M1544,4814,Telecom Services 544,US,True,Low
M1545,5541,Gas Stations 545,FR,False,Low
M1546,7999,Misc Rec Services 546,GB,False,Low
M1547,7999,Misc Rec Services 547,DE,False,Medium
M1548,5541,Gas Stations 548,GB,True,Low
M1549,5999,Misc Retail 549,FR,False,Low
M1550,5732,Electronics Stores 550,GB,False,Medium
M1551,5541,Gas Stations 551,FR,False,Low
M1552,5732,Electronics Stores 552,GB,False,Low
M1553,5999,Misc Retail 553,US,False,Low
M1554,5541,Gas Stations 554,DE,False,Medium
M1555,5999,Misc Retail 555,FR,False,Low
M1556,5541,Gas Stations 556,GB,False,Low
M1557,5411,Grocery Stores 557,DE,False,Low
M1558,5732,Electronics Stores 558,CA,False,Low
M1559,5732,Electronics Stores 559,DE,False,Low
M1560,5411,Grocery Stores 560,US,False,Low
M1561,5812,Restaurants 561,MT,False,High
M1562,5812,Restaurants 562,GB,False,Medium
M1563,5812,Restaurants 563,PA,True,High
M1564,5541,Gas Stations 564,US,False,Low
M1565,5812,Restaurants 565,PA,True,High
M1566,5411,Grocery Stores 566,FR,False,Low
M1567,5541,Gas Stations 567,DE,False,Low
M1568,7999,Misc Rec Services 568,FR,False,Medium
M1569,5732,Electronics Stores 569,AU,False,Medium
